key,map_winner,attacker_payload_distance1,attacker_payload_distance2,defender_payload_distance1,defender_payload_distance2,attacker_time_banked1,attacker_time_banked2,defender_time_banked1,defender_time_banked2,attacker_control_perecent1,attacker_control_perecent2,defender_control_perecent1,defender_control_perecent2,team_one_name,team_two_name,year,map_name
"(30162, 'Numbani')",Hangzhou Spark,123.84407424926758,143.60005950927734,71.7989730834961,143.60005950927734,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,Atlanta Reign,Hangzhou Spark,2019,Numbani
"(30162, 'Temple of Anubis')",Hangzhou Spark,0.0,0.0,0.0,0.0,62.99298095703125,423.15802001953125,0.0,566.22802734375,0.0,0.0,0.0,0.0,Atlanta Reign,Hangzhou Spark,2019,Temple of Anubis
"(30162, 'Watchpoint: Gibraltar')",Hangzhou Spark,171.41873168945312,171.37613677978516,82.63800048828125,177.46963500976562,60.0,106.16500854492188,0.0,299.82000732421875,0.0,0.0,0.0,0.0,Atlanta Reign,Hangzhou Spark,2019,Watchpoint: Gibraltar
"(30159, 'Busan')",San Francisco Shock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,200.0,Los Angeles Gladiators,San Francisco Shock,2019,Busan
"(30159, ""King's Row"")",San Francisco Shock,55.95231628417969,70.2933349609375,0.0,70.2933349609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Los Angeles Gladiators,San Francisco Shock,2019,King's Row
"(30159, 'Horizon Lunar Colony')",San Francisco Shock,0.0,0.0,0.0,0.0,223.82003784179688,103.38900756835938,186.9490203857422,103.38900756835938,0.0,0.0,0.0,0.0,San Francisco Shock,Los Angeles Gladiators,2019,Horizon Lunar Colony
"(30159, 'Rialto')",San Francisco Shock,126.90747451782227,126.91584014892578,38.76283645629883,176.2847900390625,60.0,445.50099182128906,0.0,565.7919921875,0.0,0.0,0.0,0.0,Los Angeles Gladiators,San Francisco Shock,2019,Rialto
"(30156, 'Lijiang Tower')",Vancouver Titans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,200.0,New York Excelsior,Vancouver Titans,2019,Lijiang Tower
"(30156, ""King's Row"")",New York Excelsior,50.44326782226562,70.29765319824219,0.0,70.29765319824219,0.0,104.21102905273438,0.0,104.21102905273438,0.0,0.0,0.0,0.0,Vancouver Titans,New York Excelsior,2019,King's Row
"(30156, 'Temple of Anubis')",New York Excelsior,0.0,0.0,0.0,0.0,430.1940002441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Excelsior,Vancouver Titans,2019,Temple of Anubis
"(30156, 'Watchpoint: Gibraltar')",Vancouver Titans,84.58432006835938,88.70855712890625,0.0,88.70855712890625,0.0,217.9400329589844,0.0,217.9400329589844,0.0,0.0,0.0,0.0,New York Excelsior,Vancouver Titans,2019,Watchpoint: Gibraltar
"(30156, 'Busan')",Vancouver Titans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,200.0,New York Excelsior,Vancouver Titans,2019,Busan
"(30156, 'Numbani')",New York Excelsior,71.80109405517578,143.60726928710938,71.80109405517578,143.60726928710938,159.14102172851562,135.42399597167972,159.14102172851562,135.42399597167972,0.0,0.0,0.0,0.0,Vancouver Titans,New York Excelsior,2019,Numbani
"(30156, 'Dorado')",Vancouver Titans,52.19518280029297,85.76860046386719,0.0,85.76860046386719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Excelsior,Vancouver Titans,2019,Dorado
"(30160, 'Busan')",San Francisco Shock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,248.0,Hangzhou Spark,San Francisco Shock,2019,Busan
"(30160, ""King's Row"")",San Francisco Shock,70.30584716796875,70.29435729980469,70.30584716796875,70.29435729980469,0.0,285.9280548095703,0.0,216.53302001953125,0.0,0.0,0.0,0.0,Hangzhou Spark,San Francisco Shock,2019,King's Row
"(30160, 'Temple of Anubis')",San Francisco Shock,0.0,0.0,0.0,0.0,364.41999435424805,148.93798828125,306.0770034790039,208.93798828125,0.0,0.0,0.0,0.0,San Francisco Shock,Hangzhou Spark,2019,Temple of Anubis
