diff_att_pdistance,diff_def_pdistance,diff_att_time_b,diff_def_time_b,diff_att_control_p,diff_def_control_p,target
0.0345458984375,-75.61505126953125,125.75057220458984,240.0,0.0,0.0,1
0.0,0.0,11.693084716796818,-224.58795166015625,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,-165.0,1
0.01416015625,-75.54950714111328,165.84002685546875,0.0,0.0,0.0,1
0.01706695556639204,-70.161865234375,186.31280517578125,240.0,0.0,0.0,1
0.0,0.0,356.864013671875,240.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,-200.0,0
0.0,0.0,107.62400817871094,0.0,0.0,0.0,1
-15.034790039062514,-102.00457763671876,-63.6915168762207,176.3084831237793,0.0,0.0,0
0.0,0.0,-145.66091918945312,-567.7779541015625,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,-200.0,0
0.00328826904296875,0.00328826904296875,60.0,0.0,0.0,0.0,0
0.01354217529296875,-93.26958465576172,172.70278930664062,240.0,0.0,0.0,1
0.0,0.0,-284.8690185546875,-44.8690185546875,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,-198.0,1
-71.80075073242188,-71.80075073242188,-181.82601928710938,-181.82601928710938,0.0,0.0,0
-6.8683929443359375,-85.7879638671875,-29.22543334960937,210.77456665039062,0.0,0.0,0
0.0,0.0,308.31201171875,240.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
-0.007301330566392039,-135.47084045410156,162.15311050415042,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,-81.0,1
-0.01081848144529829,-91.34840393066406,226.00070190429688,240.0,0.0,0.0,1
0.0,0.0,-259.500015258789,-374.80401611328125,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,-200.0,0
0.00274658203125,-94.57969665527344,217.052001953125,0.0,0.0,0.0,1
23.901344299316406,-24.050003051757812,218.73758697509766,398.73758697509754,0.0,0.0,0
0.0,0.0,-45.57002258300781,-41.44097900390625,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,-99.0,1
-71.80340576171875,-71.80340576171875,-174.58798217773438,-174.58798217773438,0.0,0.0,0
0.011550903320319605,-54.80433654785156,167.4134979248047,240.0,0.0,0.0,1
0.0,0.0,253.9619140625,386.4119720458984,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,-200.0,0
0.00185394287109375,-119.0525131225586,143.3769989013672,0.0,0.0,0.0,1
-16.057098388671875,-98.52540588378906,0.0,240.0,0.0,0.0,0
0.0,0.0,138.46499633789062,240.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,-71.0,1
-5.652053833007827,-71.78672790527344,-66.39601135253906,-66.39601135253906,0.0,0.0,0
-6.398834228515625,-102.00559997558594,0.0,240.0,0.0,0.0,0
0.0,0.0,-65.75001525878906,174.24998474121094,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,-32.0,1
-71.79763793945312,-71.79763793945312,-199.78802490234366,-199.78802490234366,0.0,0.0,0
0.007019042968764211,-100.27496337890624,146.8102264404297,240.0,0.0,0.0,1
0.0,0.0,-103.75796508789062,136.24203491210938,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,-125.0,1
23.230056762695327,-71.80210876464844,-218.5200042724609,-218.5200042724609,0.0,0.0,0
5.947237014770508,-23.90605926513672,53.58916473388672,246.73045349121094,0.0,0.0,0
0.0,0.0,-504.9250183105469,-133.68499755859375,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,-152.0,1
-71.79805755615234,-71.79805755615234,-102.4669952392578,-102.4669952392578,0.0,0.0,0
-6.803565979003906,-83.63590240478516,0.0,240.0,0.0,0.0,0
0.0,0.0,170.93701171875,240.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,-294.0,0
0.00182342529296875,-135.470458984375,117.77003479003906,0.0,0.0,0.0,0
0.00881195068359375,-82.31724548339844,4.862937927246094,240.0,0.0,0.0,1
0.0,0.0,169.78201293945312,240.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,-200.0,0
0.011955261230465197,-27.540786743164066,51.43000030517578,0.0,0.0,0.0,1
-68.91718292236327,-102.02227783203124,-205.4878692626953,34.51213073730469,0.0,0.0,0
0.0,0.0,-249.68701171875,-9.68701171875,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,-117.0,1
24.120864868164062,-71.79937744140625,-288.0580139160156,-288.0580139160156,0.0,0.0,0
0.0091094970703125,-89.18589782714844,163.4409637451172,240.0,0.0,0.0,1
0.0,0.0,370.87103271484375,240.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,-200.0,0
0.002212524414048289,-93.10437774658205,66.81100463867189,0.0,0.0,0.0,1
-41.80880737304687,-102.093505859375,0.0,240.0,0.0,0.0,0
0.0,0.0,0.0,240.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,-190.0,1
-0.01050567626953125,-0.01050567626953125,-165.20098876953125,-165.20098876953125,0.0,0.0,0
-31.473251342773438,-97.78732299804688,0.0,240.0,0.0,0.0,0
0.0,0.0,-71.39403533935547,173.97198486328125,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,-299.0,0
0.0011367797851704609,-66.73069763183594,218.8810272216797,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,-200.0,0
-63.905212402343736,-101.9892120361328,-8.91585922241211,231.0841407775879,0.0,0.0,0
0.0,0.0,-191.17401123046875,48.82598876953125,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,-47.0,1
-2.6876296997070312,-71.79840850830078,-134.62503051757812,-134.62503051757812,0.0,0.0,0
0.008934020996100855,-51.3983154296875,228.4539031982422,240.0,0.0,0.0,1
0.0,0.0,291.2530212402344,240.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,-200.0,0
6.103515625e-05,-71.58634185791016,160.44400024414062,0.0,0.0,0.0,1
-9.994857788085938,-102.0101318359375,-6.428260803222656,233.57173919677734,0.0,0.0,0
0.0,0.0,-132.01002502441406,107.98997497558594,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,-200.0,0
-0.007781982421875,-0.007781982421875,-117.63108825683594,-91.98104095458984,0.0,0.0,0
0.01502227783203125,-96.17001342773438,136.862060546875,240.0,0.0,0.0,1
0.0,0.0,60.0,240.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,-99.0,1
53.903099060058594,-67.7242431640625,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,-200.0,0
0.0063323974609375,-73.03417205810547,177.92137145996094,240.0,0.0,0.0,1
0.0,0.0,174.801025390625,240.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,-200.0,0
0.006500244140625,-76.48980712890625,253.1439971923828,0.0,0.0,0.0,1
-0.057098388671875,-75.01663208007812,84.85035705566406,240.0,0.0,0.0,1
0.0,0.0,-216.8500213623047,23.149978637695312,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,-200.0,0
58.74533843994142,-67.71974182128906,-123.31298828125,-123.31298828125,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,-200.0,0
0.0,0.0,91.33502197265624,0.0,0.0,0.0,1
0.0,0.0,84.01901245117188,240.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,-195.0,1
-0.0055084228515625,-73.52462768554688,142.09585571289062,240.0,0.0,0.0,1
0.0176544189453125,-47.03996276855469,0.0,0.0,0.0,0.0,1
0.0,0.0,253.1170196533203,240.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,-235.0,0
27.755661010742188,-65.95857238769531,0.0,240.0,0.0,0.0,0
57.91902160644533,-67.73223114013672,0.0,0.0,0.0,0.0,0
0.0,0.0,-37.51702880859375,202.48297119140625,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,-269.0,0
0.01119232177734375,-55.757904052734375,182.47300720214844,293.8994598388672,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,-299.0,0
