key,map_winner,attacker_payload_distance1,attacker_payload_distance2,defender_payload_distance1,defender_payload_distance2,attacker_time_banked1,attacker_time_banked2,defender_time_banked1,defender_time_banked2,attacker_control_perecent1,attacker_control_perecent2,defender_control_perecent1,defender_control_perecent2,team_one_name,team_two_name
"(31066, 2)",Toronto Defiant,94.61831665039062,94.6157684326172,0.0,94.6157684326172,29.697021484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Toronto Defiant,Boston Uprising
"(31066, 3)",Boston Uprising,0.0,79.10702514648438,0.0,79.10702514648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Toronto Defiant,Boston Uprising
"(31066, 4)",Toronto Defiant,0.0,0.0,0.0,0.0,0.0,241.3900146484375,0.0,241.3900146484375,0.0,0.0,0.0,0.0,Boston Uprising,Toronto Defiant
"(33021, 1)",Seoul Dynasty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,200.0,Los Angeles Valiant,Seoul Dynasty
"(33021, 2)",Seoul Dynasty,92.37646484375,92.37001037597656,0.0,92.37001037597656,123.697021484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seoul Dynasty,Los Angeles Valiant
"(33021, 3)",Seoul Dynasty,24.99169158935547,24.98352813720703,0.0,24.98352813720703,264.87002563476557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seoul Dynasty,Los Angeles Valiant
"(32813, 1)",Los Angeles Gladiators,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,200.0,San Francisco Shock,Los Angeles Gladiators
"(32813, 2)",Los Angeles Gladiators,47.71297073364258,47.70433044433594,0.0,47.70433044433594,139.39901733398438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Los Angeles Gladiators,San Francisco Shock
"(32813, 3)",San Francisco Shock,65.59329223632811,71.80095672607422,0.0,71.80095672607422,0.0,197.90902709960938,0.0,197.90902709960938,0.0,0.0,0.0,0.0,Los Angeles Gladiators,San Francisco Shock
"(32813, 4)",draw,0.0,0.0,0.0,0.0,201.10997009277344,143.9920196533203,201.10997009277344,120.0,0.0,0.0,0.0,0.0,San Francisco Shock,Los Angeles Gladiators
